公司名稱,職缺名稱,職缺內容,URL,Excel,Word,After Effects,Premiere,Adobe Photoshop,Final Cut ProX,Illustrator,Mac OS,MAYA,Adobe InDesign,PowerPoint,PhotoImpact,Apple,3ds Max,CorelDraw,Windows 7
GOOD TV好消息電視台_財團法人加百列福音傳播基金會,剪接師,"1.節目、影片、MV、預告片剪輯。
2.熟Edius、Premiere、Final Cut Pro剪輯軟體，願學習Edius者優先面談。
3.一年以上影片實務工作經驗並能獨立作業者。
4.熟悉AE使用者更佳。",https://www.104.com.tw/job/2mn4q,0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
一果制作影像有限公司,剪接師,"一果制作 是一個充滿活力的年輕公司

我們希望為影像創作注入 更多的創意 更多正面能量 更多的愛

所以

希望你有多一些熱血 多一些聲音 多一些勇氣 多一些對影像創作的夢想



主要工作內容:

1.對影像故事邏輯有相當的敏銳度，可以適應各種類型影片的剪輯。

2.能有效的執行檔案整理、轉檔、剪輯，並協助前製作業及後製特效工作。

3.對於效果合成的概念以及基本操作的能力、提供技術協助並與其他技術人員協調合作。

4.需熟悉操作以下剪輯軟體(其中一項)，如Final Cut Pro, Adobe Premiere

** 請附帶影音作品連結",https://www.104.com.tw/job/5fpk6,0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
中部電器有限公司,影片剪輯人員/美編,"01.	美工修圖/設計/公司整體CI/影片剪輯 。

02.	協助新品拍照/具產品解說能力。

03.	設計製作平面文宣、海報和DM。

04.	FB、Line@、Banner的編排檔期製作。

05.	網路處理具網站上架經驗。

06.	具責任感/細心、口條應對佳。

07.    若具備平面設計技能，薪資可調整

08.    新人觀察期至少1年，依能力表現決定是否調整工作內容，賦予更高難度任務與責任。



＊上班時段

09:00-18:30(中間休息一小時)

12:00-21:30(中間休息一小時)



【福利制度】

1.勞健保

2.年終獎金

3.員工購物優惠

4.特休",https://www.104.com.tw/job/77myn,0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
亞升實業有限公司,影片剪輯師/調光師,"我們正在尋找新夥伴~

擅長動態影片剪輯製作

懂燈光、相片及影片後期調光調色

拍攝記錄側拍/微電影/人物採訪

熟悉社群影音操作尤佳



肯學習、辦公室剪輯影片作業

兼具幽默感及設計美感，可獨立作業

(面試時，請攜帶作品)



如果你對影片拍攝與剪輯有很高的熱忱並可獨立作業，

且願意吸收新訊息與他人分享創新想法，歡迎你加入我們的團隊。

",https://www.104.com.tw/job/6h4py,0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
亞瑟國際企業有限公司,平台影片剪輯人員,"1. 公司產品之行銷短片、產品介紹、教學影片…等拍攝商品及內容攝製。
2. 高配合度與執行能力，也要能和團隊協調溝通。
3. 有電子商務相關經驗者佳．

▲需具備獨力完成能力 (腳本、拍攝、後製剪輯、片頭動畫、字幕、特效呈現)
▲熟悉各類影片剪輯後製(After、Effect、Premiere、Finalcut等等)
▲需在履歷上附上作品連結",https://www.104.com.tw/job/7c9ms,0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
優迪國際股份有限公司,【影片剪輯人員/剪輯師/剪接師】#影片行銷高手＃內容很有梗,"優迪嚴選除了嚴格把關每一件商品，更常常拍攝專屬優迪嚴選的系列影片，讓消費者能夠更深入了解產品及其使用方式，其吸睛有趣的呈現方式，是擄獲消費者芳心的不二法門！
因此，我們要強力徵求—有拍攝剪輯影片能力、能夠創意發想劇本的你，一起製作出更多更有趣的影片吧！

主要工作內容有：
1. 影片剪輯後製軟體 (Adobe Premiere、After Effects佳)
2. 商品介紹影片拍攝 (掌鏡、打燈、場佈美感)
3. 獨立完成一部完整影片 (剪輯、綜藝特效、字幕、音效、音樂等）
4. 設計排版美感，影片縮圖製作或廣告素材等 (Adobe Photoshop)
※商品創意發想與劇本撰寫尤佳
※履歷請附上作品集哦！


★如果您有興趣想了解我們的影片內容，歡迎點選下方連結參考唷★
https://www.youtube.com/playlist?list=PL8Ra8DmWLjbJgAexl6mDN6w3RZGmp4pze
https://www.youtube.com/playlist?list=PL8Ra8DmWLjbKZ3cWIxL3wintyD2TkKUdz
",https://www.104.com.tw/job/7ct0s,0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
光盛視影像製作有限公司,影片剪接師,"工作需求：
>剪接各式各樣的影片，不局限於某種形式
例如：廣告、工商形象、MV、活動紀錄、YT遊戲精華等等
>公司作品檔案備份、整理、轉檔、素材管理、結案歸檔

能力需求：
> 需熟悉Mac作業系統
> 能獨立剪接各類型之影片
> 具備積極的工作熱忱
> 溝通能力高、邏輯清晰、可以團隊合作的人
> 抗壓性高，案子交片為重，必要時假日加班可接受者（不常，但還是要先打預防針）
> 對美感有敏銳度，能掌握好影像故事節奏
> 熟悉Adobe相關影音剪接軟體（Adobe Premiere、After Effects）
  ＊＋加分項目＊會使用illustrator、photoshop 、DaVinci Resolve 熟悉且流暢者
> 具創意思維、擁有與眾不同的觀點
> 一年以上工作經驗
> 會騎車、開車（＋加分）
>能承受住天秤座老闆的跳躍性及更動無常的強大心智

",https://www.104.com.tw/job/7ck7m,0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
冠群汽車有限公司,影片剪輯師/後製/剪接/(全職/兼職),"影片後製專員/剪輯師/剪接師/攝影師

1.具備剪輯概念且熟悉軟體操作（premiere、After Effects)為佳或熟悉其他非線性剪輯軟體。

2. 負責影音的剪輯及後製工作，並能如期完成各專案 

3.需擅長操作攝影器材或是手機攝影(對於構圖運鏡、燈光、音效有實務經驗者佳) 

4.需支援行銷團隊進行相關影片直播工作 

5.本身有器材者佳

6.其他主管交代事項

7.需附上作品",https://www.104.com.tw/job/782p0,0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
利格商業設計有限公司,影片剪輯人員 / 剪輯師 / 剪接師,"**投遞履歷請務必!!務必!!務必!!附上作品集**

1.	影片拍攝：與各設計師溝通想法，拍攝各單位或主管交辦任務內容(多元)。
2.	剪輯後製：影片剪輯、特效、字幕、轉場等規劃及後製工作
3.	各項器材之保養維護、影片檔案歸檔及分類
4.	與攝影師互相搭配工作，創造不同火花
5.	帶動及引導拍攝對象、現場佈置及收尾事宜
6.	投遞履歷，請附上剪輯或特效作品集 

**若具備以下任一條件，都可替面試加分哦！
【剪輯方面】
1.	企業或店家形象影片作品
2.	室內完工案影片作品
3.	cinematic vlog作品、B-roll
4.	商品或食品形象影片作品

【特效方面】
1.	MotionGraphic、Animation、Slideshow作品
2.	會使用AE、後期調色、了解特效參數設定
3.	會使用追蹤定位、後期影像穩定功能

【平面&攝影方面】**大加分!!
1.	多方面擁有平面設計創作能力、基礎畫面美感
2.	一方面喜歡拍照、有攝影作品(人像、食品、商品)",https://www.104.com.tw/job/7ass0,1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
友量娛樂科技股份有限公司,影片剪輯師,"1.影片的前置作業
2.影片的剪接作業
3.熟悉EDIUS/PHOTOSHOP操作
4.曾從事電視/電影預告剪輯尤佳
5.具電視台剪輯、後製相關經驗達5年以上
6.電影、影展、音樂預告內容製作

",https://www.104.com.tw/job/6o6hy,0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
